(0.899427,-0.126902)
(0.913468,-0.064163)
(0.918171,0.000000)
(0.913468,0.064163)
(0.899427,0.126902)
(0.876373,0.186864)
(0.844857,0.242716)
(0.805555,0.293235)
(0.759352,0.337323)
(0.707294,0.374027)
(0.650580,0.402538)
(0.590441,0.422262)
(0.528272,0.432758)
(0.465429,0.433868)
(0.403374,0.425563)
(0.343464,0.408075)
(0.287061,0.381843)
(0.235471,0.347478)
(0.189823,0.305776)
(0.151154,0.257740)
(0.120333,0.204455)
(0.098068,0.147158)
(0.084861,0.087181)
(0.081004,0.025930)
(0.086589,-0.035230)
(0.101510,-0.094857)
(0.125411,-0.151546)
(0.157789,-0.204035)
(0.197876,-0.251077)
(0.244809,-0.291576)
(0.297518,-0.324598)
(0.354808,-0.349314)
(0.415427,-0.365196)
(0.477983,-0.371793)
(0.541061,-0.368938)
(0.603247,-0.356653)
(0.663157,-0.335182)
(0.719403,-0.304930)
(0.770765,-0.266577)
(0.816043,-0.220948)
(0.854240,-0.169000)
(0.884458,-0.111904)
(0.906034,-0.050866)
(0.918473,0.012744)
(0.921480,0.077540)
(0.914990,0.142112)
(0.899118,0.205009)
(0.874257,0.264887)
(0.840915,0.320391)
(0.799857,0.370330)
(0.751988,0.413599)
(0.698423,0.449255)
(0.640305,0.476526)
(0.578991,0.494778)
(0.515810,0.503713)
(0.452229,0.503088)
(0.389652,0.492976)
(0.329500,0.473616)
(0.273134,0.445465)
(0.221827,0.409192)
(0.176739,0.365654)
(0.138899,0.315846)
(0.109142,0.260920)
(0.088184,0.202144)
(0.076498,0.140888)
(0.074341,0.078532)
(0.081765,0.016557)
(0.098665,-0.043625)
(0.124607,-0.100651)
(0.159087,-0.153126)
(0.201264,-0.199882)
(0.250254,-0.239787)
(0.304944,-0.271908)
(0.364116,-0.295502)
(0.426406,-0.309947)
(0.490468,-0.314885)
(0.554834,-0.310167)
(0.618043,-0.295839)
(0.678679,-0.272161)
(0.735370,-0.239640)
(0.786850,-0.198946)
(0.831926,-0.150943)
(0.869570,-0.096698)
(0.898951,-0.037330)
(0.919381,0.025816)
(0.930367,0.091387)
(0.931672,0.157942)
